"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\yitan\Projects\Java\Remote\NYU Fall 2022 CS102\Class HWs\CS102-HW1\Application\src\Apps\Admin\AdminApp.java", "Java", 417, 36, 62, 515
"c:\Users\yitan\Projects\Java\Remote\NYU Fall 2022 CS102\Class HWs\CS102-HW1\Application\src\Apps\Admin\AdminInterface.java", "Java", 15, 0, 4, 19
"c:\Users\yitan\Projects\Java\Remote\NYU Fall 2022 CS102\Class HWs\CS102-HW1\Application\src\Apps\CourseRegistrationSystem.java", "Java", 414, 27, 59, 500
"c:\Users\yitan\Projects\Java\Remote\NYU Fall 2022 CS102\Class HWs\CS102-HW1\Application\src\Apps\Student\StudentApp.java", "Java", 113, 13, 21, 147
"c:\Users\yitan\Projects\Java\Remote\NYU Fall 2022 CS102\Class HWs\CS102-HW1\Application\src\Apps\Student\StudentInterface.java", "Java", 11, 0, 4, 15
"c:\Users\yitan\Projects\Java\Remote\NYU Fall 2022 CS102\Class HWs\CS102-HW1\Application\src\Apps\Utilities.java", "Java", 33, 0, 6, 39
"Total", "-", 1003, 76, 156, 1235
